english,coptic,dialect,source,quality
"They don't eat when they come from the marketplace, unless they bathe themselves, and there are many other things, which they have received to hold to: washings of cups, pitchers, bronze vessels, and couches.)",ⲁⲩⲱ ⲉⲩϣⲁⲛⲉⲓ ⲛⲧⲁⲅⲟⲣⲁ ⲉⲩⲧⲙϭⲉϣϭⲱϣⲟⲩ ⲙⲉⲩⲟⲩⲱⲙ . ⲁⲩⲱ ϩⲉⲛⲕⲉⲥⲙⲟⲧ ⲧⲏⲣⲟⲩ ⲉⲁⲩϫⲓⲧⲟⲩ ⲉⲁⲙⲁϩⲧⲉ ⲙⲙⲟⲟⲩ ϩⲉⲛⲁⲡⲟⲧ ⲉϩⲟⲣⲡⲟⲩ ⲛⲙϩⲉⲛⲝⲉⲥⲧⲏⲥ ⲛⲙϩⲉⲛⲭⲁⲗⲕⲓⲛ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0004 (CC BY 4.0),gold
"The Pharisees and the scribes asked him, 'Why don't your disciples walk according to the tradition of the elders, but eat their bread with unwashed hands?'",ⲁⲩϫⲛⲟⲩϥ ⲇⲉ ⲛϭⲓⲛⲉⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ ⲙⲛⲛⲉⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ ϫⲉⲉⲧⲃⲉⲟⲩ ⲛⲉⲕⲙⲁⲑⲏⲧⲏⲥ ⲛⲥⲉⲙⲟⲟϣⲉ ⲁⲛ ⲕⲁⲧⲁⲧⲡⲁⲣⲁⲇⲟⲥⲓⲥ ⲛⲛⲉⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ . ⲁⲗⲗⲁ ⲥⲉⲟⲩⲱⲙ ⲙⲡⲉⲩⲟⲉⲓⲕ ⲉⲣⲉⲧⲟⲟⲧⲟⲩ ⲧⲟⲗⲙ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0005 (CC BY 4.0),gold
"He answered them, 'Well did Isaiah prophesy of you hypocrites, as it is written, 'This people honors me with their lips, but their heart is far from me.",ⲛⲧⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉⲕⲁⲗⲱⲥ ⲁⲏⲥⲁⲓⲁⲥ ⲡⲣⲟⲫⲏⲧⲉⲩⲉ ϩⲁⲣⲱⲧⲛ ⲛϩⲩⲡⲟⲕⲣⲓⲧⲏⲥ ⲛⲧϩⲉ ⲉⲧϥⲥⲏϩ ϫⲉⲡⲓⲗⲁⲟⲥ ⲧⲙⲁⲓⲟ ⲙⲙⲟⲓ ϩⲛⲛⲉϥⲥⲡⲟⲧⲟⲩ . ⲡⲉⲩϩⲏⲧ ⲇⲉ ⲟⲩⲏⲩ ⲉⲃⲟⲗ ⲙⲙⲟⲓ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0006 (CC BY 4.0),gold
"But in vain do they worship me, teaching as doctrines the commandments of men.'",ⲉⲩⲟⲩⲱϣⲧ ⲇⲉ ⲙⲙⲟⲓ ⲉⲡϫⲓⲛϫⲏ ⲉⲩϯⲥⲃⲱ ⲛϩⲉⲛⲥⲃⲟⲟⲩⲉ ⲛⲉⲛⲧⲟⲗⲏ ⲛⲣⲱⲙⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0007 (CC BY 4.0),gold
"For you set aside the commandment of God, and hold tightly to the tradition of men--the washing of pitchers and cups, and you do many other such things.'",ⲉⲁⲧⲉⲧⲛⲕⲱ ⲛⲥⲱⲧⲛ ⲛⲧⲉⲛⲧⲟⲗⲏ ⲙⲡⲛⲟⲩⲧⲉ ⲧⲉⲧⲛⲁⲙⲁϩⲧⲉ ⲛⲙⲡⲁⲣⲁⲇⲟⲥⲓⲥ ⲛⲛⲣⲱⲙⲉ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0008 (CC BY 4.0),gold
"He said to them, 'Full well do you reject the commandment of God, that you may keep your tradition.",ⲁⲩⲱ ⲛⲉϥϫⲱ ⲙⲙⲟⲥ ⲛⲁⲩ . ϫⲉⲕⲁⲗⲱⲥ ⲧⲉⲧⲛⲁⲑⲉⲧⲓ ⲛⲧⲉⲛⲧⲟⲗⲏ ⲙⲡⲛⲟⲩⲧⲉ ϫⲉⲉⲧⲉⲧⲛⲉϩⲁⲣⲉϩ ⲉⲧⲉⲧⲛⲡⲁⲣⲁⲇⲟⲥⲓⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0009 (CC BY 4.0),gold
"For Moses said, 'Honor your father and your mother;'",ⲙⲱⲩⲥⲏⲥ ⲅⲁⲣ ⲁϥϫⲟⲟⲥ ϫⲉⲙⲁⲧⲁⲓⲉⲡⲉⲕⲉⲓⲱⲧ ⲛⲙⲧⲉⲕⲙⲁⲁⲩ ⲁⲩⲱ ⲡⲉⲧⲛⲁϫⲓϣⲁϫⲉ ⲉϥϩⲟⲟⲩ ⲛⲥⲁⲡⲉϥⲉⲓⲱⲧ ⲏ ⲧⲉϥⲙⲁⲁⲩ ϩⲛⲟⲩⲙⲟⲩ ⲙⲁⲣⲉϥⲙⲟⲩ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0010 (CC BY 4.0),gold
"But you say, 'If a man tells his father or his mother, 'Whatever profit you might have received from me is Corban, that is to say, given to God;''",ⲛⲧⲱⲧⲛ ⲇⲉ ⲧⲉⲧⲛϫⲱ ⲙⲙⲟⲥ ϫⲉⲉⲣϣⲁⲛⲡⲣⲱⲙⲉ ϫⲟⲟⲥ ⲙⲡⲉϥⲉⲓⲱⲧ ⲏ ⲧⲉϥⲙⲁⲁⲩ ϫⲉⲕⲟⲣⲃⲁⲛ . ⲉⲧⲉⲡⲁⲓ ⲡⲉ ϫⲉⲟⲩⲇⲱⲣⲟⲛ ⲡⲉ ⲉⲕϣⲁⲛϯϩⲏⲩ ⲙⲙⲟϥ ⲉⲃⲟⲗ ⲛϩⲏⲧ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0011 (CC BY 4.0),gold
"then you no longer allow him to do anything for his father or his mother,",ⲙⲁⲧⲉⲧⲛⲕⲁⲁϥ ϭⲉ ⲉⲣⲗⲁⲁⲩ ⲛϩⲱⲃ ⲙⲡⲉϥⲉⲓⲱⲧ ⲏ ⲧⲉϥⲙⲁⲁⲩ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0012 (CC BY 4.0),gold
"making void the word of God by your tradition, which you have handed down. You do many things like this.'",ⲉⲧⲉⲧⲛⲧⲥⲧⲟ ⲉⲃⲟⲗ ⲙⲡϣⲁϫⲉ ⲙⲡⲛⲟⲩⲧⲉ ϩⲛⲧⲉⲧⲛⲡⲁⲣⲁⲇⲟⲥⲓⲥ ⲛⲧⲁⲧⲉⲧⲛⲧⲁⲁⲥ ⲉⲧⲟⲟⲧⲟⲩ ⲁⲩⲱ ϩⲉⲛⲕⲉϩⲃⲏⲩⲉ ⲧⲏⲣⲟⲩ ⲉⲩⲧⲛⲧⲱⲛ ⲉⲛⲁⲓ ⲧⲉⲧⲛⲉⲓⲣⲉ ⲙⲙⲟⲟⲩ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0013 (CC BY 4.0),gold
"He called all the multitude to himself, and said to them, 'Hear me, all of you, and understand.",ⲁⲩⲱ ⲁϥⲙⲟⲩⲧⲉ ⲟⲛ ⲉⲡⲙⲏⲏϣⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ . ϫⲉⲥⲱⲧⲙ ⲉⲣⲟⲓ ⲧⲏⲣⲧⲛ ⲛⲧⲉⲧⲛⲛⲟⲉⲓ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0014 (CC BY 4.0),gold
"There is nothing from outside of the man, that going into him can defile him; but the things which proceed out of the man are those that defile the man.",ⲙⲙⲛⲗⲁⲁⲩ ⲉϥⲙⲡⲃⲟⲗ ⲙⲡⲣⲱⲙⲉ ⲉϥⲛⲁⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲣⲟϥ ⲉϥⲛⲁϣϫⲁϩⲙⲉϥ ⲁⲗⲗⲁ ⲛⲉⲧⲛⲏⲩ ⲉⲃⲟⲗ ⲙⲡⲣⲱⲙⲉ ⲛⲧⲟⲟⲩ ⲛⲉⲧϫⲱϩⲙ ⲙⲡⲣⲱⲙⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0015 (CC BY 4.0),gold
"If anyone has ears to hear, let him hear!'",[..],sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0016 (CC BY 4.0),gold
"When he had entered into a house away from the multitude, his disciples asked him about the parable.",ⲁⲩⲱ ⲛⲧⲉⲣⲉϥⲕⲁⲡⲙⲏⲏϣⲉ ⲁϥⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲡⲏⲓ ⲁⲩϫⲛⲟⲩϥ ⲛϭⲓⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ⲉⲧⲡⲁⲣⲁⲃⲟⲗⲏ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0017 (CC BY 4.0),gold
"He said to them, 'Are you thus without understanding also? Don't you perceive that whatever goes into the man from outside can't defile him,",ⲛⲧⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉⲛⲧⲱⲧⲛ ϩⲱⲧⲧⲏⲩⲧⲛ ⲧⲉⲧⲛⲟ ⲛⲁⲧϩⲏⲧ ϩⲓⲛⲁⲓ . ⲛⲧⲉⲧⲛⲛⲟⲉⲓ ⲁⲛ ϫⲉⲛⲕⲁ ⲛⲓⲙ ⲉϥⲙⲡⲃⲟⲗ ⲙⲡⲣⲱⲙⲉ ⲉϥⲛⲁⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲣⲟϥ ⲛϥⲛⲁϣϫⲁϩⲙⲉϥ ⲁⲛ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0018 (CC BY 4.0),gold
"because it doesn't go into his heart, but into his stomach, then into the latrine, thus making all foods clean?'",ⲉⲃⲟⲗ ϫⲉ ⲛⲉϥⲃⲏⲕ ⲁⲛ ⲉϩⲟⲩⲛ ⲉⲡϩⲏⲧ . ⲁⲗⲗⲁ ⲉϩⲣⲁⲓ ⲉⲧϩⲏ . ⲁⲩⲱ ϥⲃⲏⲕ ⲉⲃⲟⲗ ⲉⲡⲙⲁ ⲛⲣⲙⲏ ⲉϥⲕⲁⲑⲁⲣⲓⲍⲉ ⲛⲛϭⲓⲛⲟⲩⲟⲟⲙ ⲧⲏⲣⲟⲩ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0019 (CC BY 4.0),gold
"He said, 'That which proceeds out of the man, that defiles the man.",ⲛⲉϥϫⲱ ⲇⲉ ⲙⲙⲟⲥ ϫⲉⲡⲉⲧⲛⲏⲩ ⲇⲉ ⲉⲃⲟⲗ ⲙⲡⲣⲱⲙⲉ ⲡⲉⲧⲙⲙⲁⲩ ⲡⲉ ϣⲁϥϫⲁϩⲙ ⲡⲣⲱⲙⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0020 (CC BY 4.0),gold
"For from within, out of the hearts of men, proceed evil thoughts, adulteries, sexual sins, murders, thefts,",ⲉϥⲛⲏⲩ ⲅⲁⲣ ⲉⲃⲟⲗ ϩⲓϩⲟⲩⲛ ⲙⲡϩⲏⲧ ⲛⲛⲣⲱⲙⲉ ⲛϭⲓⲙⲙⲉⲉⲩⲉ ⲉⲧϩⲟⲟⲩ ϩⲉⲛⲡⲟⲣⲛⲉⲓⲁ ϩⲉⲛϫⲓⲟⲩⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0021 (CC BY 4.0),gold
"covetings, wickedness, deceit, lustful desires, an evil eye, blasphemy, pride, and foolishness.",ϩⲉⲛϩⲱⲧⲃ ϩⲉⲛⲙⲛⲧⲛⲟⲉⲓⲕ . ϩⲉⲛⲙⲛⲧⲙⲁⲓⲧⲟ ⲛϩⲟⲩⲟ ϩⲉⲛⲡⲟⲛⲏⲣⲓⲁ ⲟⲩⲙⲛⲧⲣⲉϥϫⲱϩⲙ ⲟⲩⲃⲁⲗ ⲉϥϩⲟⲟⲩ ⲟⲩⲙⲛⲧⲣⲉϥϫⲓⲟⲩⲁ ⲟⲩⲙⲛⲧϫⲁⲥⲓϩⲏⲧ ⲟⲩⲙⲛⲧⲁⲧϩⲏⲧ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0022 (CC BY 4.0),gold
"All these evil things come from within, and defile the man.'",ⲛⲁⲓ ⲧⲏⲣⲟⲩ ⲉⲧϩⲟⲟⲩ ⲉⲩⲛⲏⲩ ⲉⲃⲟⲗ ϩⲓϩⲟⲩⲛ ⲉⲩϫⲱϩⲙ ⲙⲡⲣⲱⲙⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0023 (CC BY 4.0),gold
"From there he arose, and went away into the borders of Tyre and Sidon. He entered into a house, and didn't want anyone to know it, but he couldn't escape notice.",ⲛⲧⲉⲣⲉϥⲡⲱⲱⲛⲉ ⲇⲉ ⲉⲃⲟⲗ ⲙⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ⲁϥⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲛⲧⲟϣ ⲛⲧⲩⲣⲟⲥ ⲛⲙⲥⲓⲇⲱⲛ ⲁⲩⲱ ⲛⲧⲉⲣⲉϥⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲡⲏⲓ ⲙⲡϥⲟⲩⲱϣ ⲉⲧⲣⲉⲗⲁⲁⲩ ⲉⲓⲙⲉ . ⲁⲩⲱ ⲙⲡⲉϥⲉϣϩⲱⲡ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0024 (CC BY 4.0),gold
"For a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet.",ⲁⲗⲗⲁ ⲛⲧⲉⲩⲛⲟⲩ ⲛⲧⲉⲣⲉⲥⲥⲱⲧⲙ ⲉⲧⲃⲏⲏⲧϥ ⲛϭⲓⲟⲩⲥϩⲓⲙⲉ ⲉⲩⲛⲧⲥⲟⲩϣⲉⲉⲣⲉ ⲙⲙⲁⲩ ⲉⲣⲉⲟⲩⲡⲛⲉⲩⲙⲁ ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ ⲛⲙⲙⲁⲥ ⲁⲥⲉⲓ ⲁⲥⲡⲁϩⲧⲥ ϩⲁⲣⲁⲧϥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0025 (CC BY 4.0),gold
"Now the woman was a Greek, a Syrophoenician by race. She begged him that he would cast the demon out of her daughter.",ⲧⲉⲥϩⲓⲙⲉ ⲇⲉ ⲛⲉⲩϩⲉⲗⲗⲏⲛ ⲧⲉ ⲛⲣⲙ ⲧⲉ ⲫⲟⲓⲛⲓⲕⲏ ⲛⲧⲥⲩⲣⲓⲁ . ⲁⲩⲱ ⲁⲥⲥⲉⲡⲥⲱⲡϥ ϫⲉⲕⲁⲁⲥ ⲉϥⲉⲛⲉϫⲡⲇⲁⲓⲙⲱⲛⲓⲟⲛ ⲉⲃⲟⲗ ϩⲓⲧⲉⲥϣⲉⲉⲣⲉ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0026 (CC BY 4.0),gold
"But Jesus said to her, 'Let the children be filled first, for it is not appropriate to take the children's bread and throw it to the dogs.'",ⲡⲉϫⲁϥ ⲇⲉ ⲛⲁⲥ ϫⲉⲕⲁⲛϣⲏⲣⲉ ⲉⲧⲣⲉⲩⲥⲉⲓ ⲛϣⲟⲣⲡ . ⲛⲛⲁⲛⲟⲩⲥ ⲅⲁⲣ ⲁⲛ ⲉϫⲓ ⲙⲡⲟⲉⲓⲕ ⲛⲛϣⲏⲣⲉ ⲉⲛⲟϫϥ ⲛⲛⲉⲩϩⲟⲟⲣ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0027 (CC BY 4.0),gold
"But she answered him, 'Yes, Lord. Yet even the dogs under the table eat the children's crumbs.'",ⲛⲧⲟⲥ ⲇⲉ ⲁⲥⲟⲩⲱϣⲃ ⲉⲥϫⲱ ⲙⲙⲟⲥ ⲛⲁϥ ϫⲉ ⲥⲉ ⲡϫⲟⲉⲓⲥ . ⲛⲕⲉⲟⲩϩⲟⲟⲣ ϣⲁⲩⲟⲩⲱⲙ ⲉⲃⲟⲗ ϩⲛⲛⲥⲣⲉϥⲣⲓϥⲉ ϩⲁⲧⲉⲧⲣⲁⲡⲉⲍⲁ ⲛⲛϣⲏⲣⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0028 (CC BY 4.0),gold
"He said to her, 'For this saying, go your way. The demon has gone out of your daughter.'",ⲁⲩⲱ ⲡⲉϫⲁϥ ⲛⲁⲥ ϫⲉⲃⲱⲕ ⲉⲧⲃⲉⲡⲉⲓϣⲁϫⲉ ⲁⲡⲇⲁⲓⲙⲱⲛⲓⲟⲛ ⲉⲓ ⲉⲃⲟⲗ ϩⲛⲧⲟⲩϣⲉⲉⲣⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0029 (CC BY 4.0),gold
"She went away to her house, and found the child having been laid on the bed, with the demon gone out.",ⲛⲧⲉⲣⲉⲥⲃⲱⲕ ⲇⲉ ⲉⲡⲉⲥⲏⲓ ⲁⲥϩⲉ ⲉⲧⲉϣⲉⲉⲣⲉ ⲉⲥⲛⲏϫ ϩⲓⲡⲉϭⲗⲟϭ ⲉⲁⲡⲇⲁⲓⲙⲱⲛⲓⲟⲛ ⲗⲟ ϩⲓⲱⲱⲥ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0030 (CC BY 4.0),gold
"Again he departed from the borders of Tyre and Sidon, and came to the sea of Galilee, through the midst of the region of Decapolis.",ⲛⲧⲉⲣⲉϥⲉⲓ ⲟⲛ ⲉⲃⲟⲗ ϩⲛⲛⲧⲟϣ ⲛⲧⲩⲣⲟⲥ . ⲁϥⲃⲱⲕ ⲉⲃⲟⲗ ϩⲓⲧⲛⲥⲓⲇⲱⲛ ⲉⲑⲁⲗⲁⲥⲥⲁ ⲛⲧⲅⲁⲗⲓⲗⲁⲓⲁ ϩⲛⲧⲙⲏⲧⲉ ⲛⲛⲧⲟϣ ⲛⲧⲇⲉⲕⲁⲡⲟⲗⲓⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0031 (CC BY 4.0),gold
They brought to him one who was deaf and had an impediment in his speech. They begged him to lay his hand on him.,ⲁⲩⲱ ⲁⲩⲉⲓⲛⲉ ⲛⲁϥ ⲛⲟⲩⲁⲗ ⲛⲙⲡⲟ . ⲁⲩⲱ ⲁⲩⲥⲉⲡⲥⲱⲡϥ ϫⲉⲕⲁⲁⲥ ⲉϥⲉⲕⲁⲧⲟⲟⲧϥ ϩⲓϫⲱϥ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0032 (CC BY 4.0),gold
"He took him aside from the multitude, privately, and put his fingers into his ears, and he spat, and touched his tongue.",ⲛⲧⲉⲣⲉϥⲛⲧϥ ⲇⲉ ⲉⲃⲟⲗ ⲟⲩⲧⲉⲡⲙⲏⲏϣⲉ . ⲁϥϫⲓⲧϥ ⲉⲩⲥⲁ ⲁϥⲛⲉϫⲛⲉϥⲧⲏⲏⲃⲉ ⲉϩⲟⲩⲛ ⲉⲛⲉϥⲙⲁⲁϫⲉ . ⲁⲩⲱ ⲛⲧⲉⲣⲉϥⲛⲉϫⲧⲁϥ ⲉϩⲟⲩⲛ ⲉϩⲣⲁϥ ⲁϥϫⲱϩ ⲉⲡⲉϥⲗⲁⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0033 (CC BY 4.0),gold
"Looking up to heaven, he sighed, and said to him, 'Ephphatha!' that is, 'Be opened!'",ⲁⲩⲱ ⲛⲧⲉⲣⲉϥϥⲓⲉⲓⲁⲧϥ ⲉϩⲣⲁⲓ ⲉⲧⲡⲉ ⲁϥⲁϣⲁϩⲟⲙ ⲁⲩⲱ ⲡⲉϫⲁϥ ⲛⲁϥ ϫⲉⲉⲡⲫⲁⲑⲁ . ⲉⲧⲉⲡⲁⲓ ⲡⲉ ⲟⲩⲱⲛ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0034 (CC BY 4.0),gold
"Immediately his ears were opened, and the impediment of his tongue was released, and he spoke clearly.",ⲁⲩⲱ ⲛⲉϥⲙⲁⲁϫⲉ ⲁⲩⲟⲩⲱⲛ ⲁⲩⲱ ⲁⲥⲟⲩⲱⲛ ⲛϭⲓⲧⲙⲣⲣⲉ ⲙⲡⲉϥⲗⲁⲥ ⲁϥϣⲁϫⲉ ⲕⲁⲗⲱⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0035 (CC BY 4.0),gold
"He commanded them that they should tell no one, but the more he commanded them, so much the more widely they proclaimed it.",ⲁⲩⲱ ⲁϥϩⲱⲛ ⲉⲧⲟⲟⲧⲟⲩ ϫⲉⲕⲁⲁⲥ ⲛⲛⲉⲩϫⲟⲟⲥ ⲗⲁⲁⲩ ϩⲟⲥⲟⲛ ⲇⲉ ⲁϥϩⲱⲛ ⲉⲧⲟⲟⲧⲟⲩ ⲛⲧⲟⲟⲩ ⲛϩⲟⲩⲟ ⲟⲛ ⲉⲩϯ ⲙⲡⲉϥⲥⲟⲉⲓⲧ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0036 (CC BY 4.0),gold
"They were astonished beyond measure, saying, 'He has done all things well. He makes even the deaf hear, and the mute speak!'",ⲁⲩⲱ ⲛⲉⲩⲣϣⲡⲏⲣⲉ ⲉⲙⲁⲧⲉ ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉⲕⲁⲗⲱⲥ ϩⲱⲃ ⲛⲓⲙ ⲁϥⲁⲁⲩ ϩⲱⲥⲧⲉ ⲛϥⲧⲉⲛⲕⲉⲁⲗ ⲥⲱⲧⲙ ⲁⲩⲱ ⲛⲉⲙⲡⲟ ⲛϥⲧⲣⲉⲩϣⲁϫⲉ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_mark-Mark_07_s0037 (CC BY 4.0),gold
"Paul, called to be an apostle of Jesus Christ through the will of God, and our brother Sosthenes,",ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲧⲧⲁϩⲙ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ ϩⲓⲧⲙⲡⲟⲩⲱϣ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲛⲥⲱⲥⲑⲉⲛⲏⲥ ⲡⲥⲟⲛ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0001 (CC BY 4.0),gold
"to the assembly of God which is at Corinth; those who are sanctified in Christ Jesus, called to be saints, with all who call on the name of our Lord Jesus Christ in every place, both theirs and ours:",ⲉⲩⲥϩⲁⲓ ⲛⲧⲉⲕⲕⲗⲏⲥⲓⲁ ⲙⲡⲛⲟⲩⲧⲉ ⲧⲁⲓ ⲉⲧϣⲟⲟⲡ ϩⲛⲕⲟⲣⲓⲛⲑⲟⲥ . ⲛⲉⲧⲧⲃⲃⲏⲩ ϩⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ ⲛⲉⲧⲧⲁϩⲙ ⲉⲧⲟⲩⲁⲁⲃ . ⲙⲛⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲉⲡⲓⲕⲁⲗⲉⲓ ⲙⲡⲣⲁⲛ ⲙⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ ϩⲙⲙⲁ ⲛⲓⲙ ⲛⲧⲁⲩ ⲛⲙⲙⲁⲛ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0002 (CC BY 4.0),gold
Grace to you and peace from God our Father and the Lord Jesus Christ.,ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ ⲙⲛⲧⲉⲓⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0003 (CC BY 4.0),gold
"I always thank my God concerning you, for the grace of God which was given you in Christ Jesus;",ϯϣⲡϩⲙⲟⲧ ⲛⲧⲙⲡⲁⲛⲟⲩⲧⲉ ⲛⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲁⲣⲱⲧⲛ ⲉϩⲣⲁⲓ ⲉϫⲛⲧⲉⲭⲁⲣⲓⲥ ⲙⲡⲛⲟⲩⲧⲉ ⲧⲁⲓ ⲉⲛⲧⲁⲩⲧⲁⲁⲥ ⲛⲏⲧⲛ ϩⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0004 (CC BY 4.0),gold
"that in everything you were enriched in him, in all speech and all knowledge;",ϫⲉϩⲛϩⲱⲃ ⲛⲓⲙ ⲁⲧⲉⲧⲛⲣⲣⲙⲙⲁⲟ ⲛϩⲏⲧϥ . ϩⲛϣⲁϫⲉ ⲛⲓⲙ ⲙⲛⲥⲟⲟⲩⲛ ⲛⲓⲙ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0005 (CC BY 4.0),gold
even as the testimony of Christ was confirmed in you:,ⲕⲁⲧⲁⲧϩⲉ ⲉⲛⲧⲁⲧⲙⲛⲧⲙⲛⲧⲣⲉ ⲙⲡⲛⲟⲩⲧⲉ ⲧⲁϫⲣⲟ ⲛϩⲏⲧⲧⲏⲩⲧⲛ .,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0006 (CC BY 4.0),gold
so that you come behind in no gift; waiting for the revelation of our Lord Jesus Christ;,ϩⲱⲥⲧⲉ ⲉⲧⲙⲧⲣⲉⲧⲛϣⲱⲱⲧ ⲛⲗⲁⲁⲩ ⲛϩⲙⲟⲧ ⲉⲧⲉⲧⲛϭⲱϣⲧ ϩⲏⲧϥ ⲙⲡϭⲱⲗⲡ ⲉⲃⲟⲗ ⲙⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#sahidica_1corinthians-1Cor_01_s0007 (CC BY 4.0),gold
